Category Id;Category Name
12761;Kitchen & Dining / Bakeware / Bakeware Dishes
12764;Kitchen & Dining / Bakeware / Bakeware Sets
10100147;Kitchen & Dining / Bakeware / Baking Tools & Accessories / Beaters
10100148;Kitchen & Dining / Bakeware / Baking Tools & Accessories / Bread, Cake & Cookie Accessories
10100149;Kitchen & Dining / Bakeware / Baking Tools & Accessories / Cooling Rack
10100146;Kitchen & Dining / Bakeware / Baking Tools & Accessories / Pastry Utensils
10100150;Kitchen & Dining / Bakeware / Baking Tools & Accessories / Sifter
12760;Kitchen & Dining / Bakeware / Baking Trays & Pans
12763;Kitchen & Dining / Bakeware / Cake Decorating Tools
12765;Kitchen & Dining / Bakeware / Wire Racks
12805;Kitchen & Dining / Coffee & Tea / Coffee Makers & Grinders
12806;Kitchen & Dining / Coffee & Tea / Coffee Making Accessories
12811;Kitchen & Dining / Coffee & Tea / Coffee, Tea & Espresso
12810;Kitchen & Dining / Coffee & Tea / Creamer & Sugar Bowls
12809;Kitchen & Dining / Coffee & Tea / Milk Frothers
12807;Kitchen & Dining / Coffee & Tea / Tea Making Accessories
12808;Kitchen & Dining / Coffee & Tea / Teapots & Coffee Servers
12774;Kitchen & Dining / Cookware / Casserole Pots
12771;Kitchen & Dining / Cookware / Cookware Sets
12769;Kitchen & Dining / Cookware / Dutch Oven & Braziers
12772;Kitchen & Dining / Cookware / Griddle & Grills
12766;Kitchen & Dining / Cookware / Pots & Pans
12773;Kitchen & Dining / Cookware / Roasting Trays
12776;Kitchen & Dining / Cookware / Specialty Cookware
12768;Kitchen & Dining / Cookware / Steamers, Stock & Pasta Pots
12775;Kitchen & Dining / Cookware / Stove Kettles
12770;Kitchen & Dining / Cookware / Stovetop Pressure Cookers
12767;Kitchen & Dining / Cookware / Woks & Stir-Fry Pans
10100155;Kitchen & Dining / Cutlery / Chopsticks
10100152;Kitchen & Dining / Cutlery / Flatware Sets
10100154;Kitchen & Dining / Cutlery / Forks
10100156;Kitchen & Dining / Cutlery / Knives
10100153;Kitchen & Dining / Cutlery / Spoons
12779;Kitchen & Dining / Dinnerware / Bowls
12780;Kitchen & Dining / Dinnerware / Dining Sets
12781;Kitchen & Dining / Dinnerware / Disposable Dinnerware
12778;Kitchen & Dining / Dinnerware / Plates
10100183;Kitchen & Dining / Disposables / Disposable Drinkware
10100182;Kitchen & Dining / Disposables / Disposable Gloves
10100181;Kitchen & Dining / Disposables / Disposable Napkins
10100886;Kitchen & Dining / Disposables / Disposable Plates, Bowls & Cutlery
42054601;Kitchen & Dining / Drinkware / Tumbler
12789;Kitchen & Dining / Drinkware / Bar & Wine Tools
12787;Kitchen & Dining / Drinkware / Cups, Mugs & Saucers
12785;Kitchen & Dining / Drinkware / Decanters
12782;Kitchen & Dining / Drinkware / Everyday Glassware
12788;Kitchen & Dining / Drinkware / Gravity Water Dispenser
12786;Kitchen & Dining / Drinkware / Jugs & Pitchers
12784;Kitchen & Dining / Drinkware / Specialty Glassware
12783;Kitchen & Dining / Drinkware / Wine & Champagne Glasses
12834;Kitchen & Dining / Kitchen & Table Linen / Aprons
12832;Kitchen & Dining / Kitchen & Table Linen / Cloth Napkins
12831;Kitchen & Dining / Kitchen & Table Linen / Dish Cloth & Towels
12829;Kitchen & Dining / Kitchen & Table Linen / Placemats & Coasters
12833;Kitchen & Dining / Kitchen & Table Linen / Potholders, Mitts  & Cozies
12830;Kitchen & Dining / Kitchen & Table Linen / Table Cloths & Runners
12835;Kitchen & Dining / Kitchen & Table Linen / Table Linen Accessories
12844;Kitchen & Dining / Kitchen Storage & Accessories / Condiment & Spice Racks
12838;Kitchen & Dining / Kitchen Storage & Accessories / Dishracks & Sink accessories
12837;Kitchen & Dining / Kitchen Storage & Accessories / Drink Bottles
12840;Kitchen & Dining / Kitchen Storage & Accessories / Food Storage & Dispensers
12839;Kitchen & Dining / Kitchen Storage & Accessories / Kitchen Canisters & Jars
12842;Kitchen & Dining / Kitchen Storage & Accessories / Kitchen Organizers
12836;Kitchen & Dining / Kitchen Storage & Accessories / Lunch Bags & Boxes
12843;Kitchen & Dining / Kitchen Storage & Accessories / Pot Racks
12845;Kitchen & Dining / Kitchen Storage & Accessories / Shopping Trolleys & Carriers
12846;Kitchen & Dining / Kitchen Storage & Accessories / Thermal Flasks & Containers
12841;Kitchen & Dining / Kitchen Storage & Accessories / Wine Racks
12813;Kitchen & Dining / Kitchen Utensils / Can Openers
12818;Kitchen & Dining / Kitchen Utensils / Cheese Tools
12815;Kitchen & Dining / Kitchen Utensils / Colanders & Food Strainers
12822;Kitchen & Dining / Kitchen Utensils / Cooking Utensils
12816;Kitchen & Dining / Kitchen Utensils / Fruit & Vegetable Tools
12814;Kitchen & Dining / Kitchen Utensils / Graters, Peelers & Slicers
13098;Kitchen & Dining / Kitchen Utensils / Knives & Accessories / Cooking Knife Sets
13097;Kitchen & Dining / Kitchen Utensils / Knives & Accessories / Cooking Knives
13099;Kitchen & Dining / Kitchen Utensils / Knives & Accessories / Knife Sharpeners & Blocks
13096;Kitchen & Dining / Kitchen Utensils / Knives & Accessories / Steak Knives
12812;Kitchen & Dining / Kitchen Utensils / Measuring Tools & Scales
12821;Kitchen & Dining / Kitchen Utensils / Meat & Poultry Tools
12824;Kitchen & Dining / Kitchen Utensils / Mixing Bowls
12817;Kitchen & Dining / Kitchen Utensils / Mortar & Pestle
12825;Kitchen & Dining / Kitchen Utensils / Oil Sprayers & Dispensers
12820;Kitchen & Dining / Kitchen Utensils / Pasta, Noodle & Pizza Tools
12819;Kitchen & Dining / Kitchen Utensils / Preparation & Cutting Boards
13094;Kitchen & Dining / Kitchen Utensils / Seasoning & Spice Tools / Cooking Dredges & Shakers
13093;Kitchen & Dining / Kitchen Utensils / Seasoning & Spice Tools / Garlic Tools
13092;Kitchen & Dining / Kitchen Utensils / Seasoning & Spice Tools / Salt & Pepper Tools
13095;Kitchen & Dining / Kitchen Utensils / Seasoning & Spice Tools / Spice Tools
10100160;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Barware
10100161;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Can Openers
10100159;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Colanders & Food Strainers
10100158;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Cutting Boards
10100162;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Food Domes
10100164;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Funnels
10100165;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Garlic Presses
10100166;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Ice Cream Scoops
10100167;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Ice Maker & Ice Cream Moulds
10100174;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Juicers
10100168;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Blow Torches
10100169;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Knives
10100170;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Scales
10100171;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Thermometers
10100172;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Timers
10100173;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Knife Sharpeners
10100175;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Mashers
10100176;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Meat Tenderisers
10100177;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Mortar & Pestle Sets
10100179;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Other Specialty Kitchen Tools
10100163;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Peelers & Slicers
10100178;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Pepper Mills
12823;Kitchen & Dining / Kitchen Utensils / Thermometers & Timers
12797;Kitchen & Dining / Serveware / Bread Baskets & Trays
12799;Kitchen & Dining / Serveware / Butter Dishes
12792;Kitchen & Dining / Serveware / Cake & Tiered Stands
13122;Kitchen & Dining / Serveware / Cheese Boards & Platters
12802;Kitchen & Dining / Serveware / Cruets & Condiment Sets
12796;Kitchen & Dining / Serveware / Divided Serving Dishes
12804;Kitchen & Dining / Serveware / Food Warmers
12800;Kitchen & Dining / Serveware / Gravy Boats
12801;Kitchen & Dining / Serveware / Lazy Susans
10100885;Kitchen & Dining / Serveware / Mesh Covers
12793;Kitchen & Dining / Serveware / Salad Bowls
12790;Kitchen & Dining / Serveware / Serving Bowls
12794;Kitchen & Dining / Serveware / Serving Platters
12795;Kitchen & Dining / Serveware / Serving Trays
12791;Kitchen & Dining / Serveware / Serving Utensils
12803;Kitchen & Dining / Serveware / Trivets
12798;Kitchen & Dining / Serveware / Tureens
14637;Pet Supplies / Pet Accessories / Aquarium Needs / Air Pumps & Accessories
14631;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Aquariums
14633;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Bowls
14632;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Starter Kits
14641;Pet Supplies / Pet Accessories / Aquarium Needs / CO2 Equipment
14640;Pet Supplies / Pet Accessories / Aquarium Needs / Cleaning tools
14635;Pet Supplies / Pet Accessories / Aquarium Needs / Decorations
14642;Pet Supplies / Pet Accessories / Aquarium Needs / Feeders
14634;Pet Supplies / Pet Accessories / Aquarium Needs / Filters & Accessories
14636;Pet Supplies / Pet Accessories / Aquarium Needs / Lightings
14639;Pet Supplies / Pet Accessories / Aquarium Needs / Temperature control supplies
14638;Pet Supplies / Pet Accessories / Aquarium Needs / Water pumps
14548;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Beds
14413;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Habitats & Accessories
14550;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Houses
14596;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Indoor Cameras
14549;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Mats
14566;Pet Supplies / Pet Accessories / Bowls & Feeders / Automatic Feeders
14564;Pet Supplies / Pet Accessories / Bowls & Feeders / Bowls & Diners
14567;Pet Supplies / Pet Accessories / Bowls & Feeders / Feeders & Wateners
